start_time,end_time,price,volume,node,bid_id,unit_id,accepted_volume,accepted_price,market_id,bid_type,simulation,max_power,min_power
2019-01-02 00:00:00,2019-01-02 01:00:00,5,1000,north_1,Unit 1_1,Unit 1,1000,39,EOM,,example_01d_base,,
2019-01-02 00:00:00,2019-01-02 01:00:00,6,1000,north_1,Unit 2_1,Unit 2,1000,39,EOM,,example_01d_base,,
2019-01-02 00:00:00,2019-01-02 01:00:00,7,1000,north_1,Unit 3_1,Unit 3,1000,39,EOM,,example_01d_base,,
2019-01-02 00:00:00,2019-01-02 01:00:00,8,1000,north_1,Unit 4_1,Unit 4,1000,39,EOM,,example_01d_base,,
2019-01-02 00:00:00,2019-01-02 01:00:00,9,1000,north_1,Unit 5_1,Unit 5,1000,39,EOM,,example_01d_base,,
2019-01-02 00:00:00,2019-01-02 01:00:00,10,1000,north_1,Unit 6_1,Unit 6,1000,39,EOM,,example_01d_base,,
2019-01-02 00:00:00,2019-01-02 01:00:00,11,1000,north_1,Unit 7_1,Unit 7,1000,39,EOM,,example_01d_base,,
2019-01-02 00:00:00,2019-01-02 01:00:00,12,1000,north_1,Unit 8_1,Unit 8,1000,39,EOM,,example_01d_base,,
2019-01-02 00:00:00,2019-01-02 01:00:00,13,1000,north_1,Unit 9_1,Unit 9,1000,39,EOM,,example_01d_base,,
2019-01-02 00:00:00,2019-01-02 01:00:00,14,1000,north_1,Unit 10_1,Unit 10,1000,39,EOM,,example_01d_base,,
2019-01-02 01:00:00,2019-01-02 02:00:00,5,1000,north_1,Unit 1_2,Unit 1,1000,39,EOM,,example_01d_base,,
2019-01-02 01:00:00,2019-01-02 02:00:00,6,1000,north_1,Unit 2_2,Unit 2,1000,39,EOM,,example_01d_base,,
2019-01-02 01:00:00,2019-01-02 02:00:00,7,1000,north_1,Unit 3_2,Unit 3,1000,39,EOM,,example_01d_base,,
2019-01-02 01:00:00,2019-01-02 02:00:00,8,1000,north_1,Unit 4_2,Unit 4,1000,39,EOM,,example_01d_base,,
