,datetime,power,market_id,unit_id,simulation
0,2019-01-02 00:00:00,-2400,EOM,demand_north_1,example_01d_base
1,2019-01-02 01:00:00,-2800,EOM,demand_north_1,example_01d_base
2,2019-01-02 02:00:00,-3200,EOM,demand_north_1,example_01d_base
3,2019-01-02 03:00:00,-3600,EOM,demand_north_1,example_01d_base
4,2019-01-02 04:00:00,-4000,EOM,demand_north_1,example_01d_base
5,2019-01-02 05:00:00,-4400,EOM,demand_north_1,example_01d_base
6,2019-01-02 06:00:00,-4800,EOM,demand_north_1,example_01d_base
7,2019-01-02 07:00:00,-5200,EOM,demand_north_1,example_01d_base
8,2019-01-02 08:00:00,-5600,EOM,demand_north_1,example_01d_base
9,2019-01-02 09:00:00,-6000,EOM,demand_north_1,example_01d_base
10,2019-01-02 10:00:00,-6400,EOM,demand_north_1,example_01d_base
11,2019-01-02 11:00:00,-6800,EOM,demand_north_1,example_01d_base
12,2019-01-02 12:00:00,-7200,EOM,demand_north_1,example_01d_base
13,2019-01-02 13:00:00,-7600,EOM,demand_north_1,example_01d_base
14,2019-01-02 14:00:00,-8000,EOM,demand_north_1,example_01d_base
15,2019-01-02 15:00:00,-8400,EOM,demand_north_1,example_01d_base
16,2019-01-02 16:00:00,-8800,EOM,demand_north_1,example_01d_base
17,2019-01-02 17:00:00,-9200,EOM,demand_north_1,example_01d_base
18,2019-01-02 18:00:00,-9600,EOM,demand_north_1,example_01d_base
19,2019-01-02 19:00:00,-10000,EOM,demand_north_1,example_01d_base
20,2019-01-02 00:00:00,-480,EOM,demand_east,example_01d_base
21,2019-01-02 01:00:00,-560,EOM,demand_east,example_01d_base
22,2019-01-02 02:00:00,-640,EOM,demand_east,example_01d_base
23,2019-01-02 03:00:00,-720,EOM,demand_east,example_01d_base
24,2019-01-02 04:00:00,-800,EOM,demand_east,example_01d_base
25,2019-01-02 05:00:00,-880,EOM,demand_east,example_01d_base
26,2019-01-02 06:00:00,-960,EOM,demand_east,example_01d_base
27,2019-01-02 07:00:00,-1040,EOM,demand_east,example_01d_base
28,2019-01-02 08:00:00,-1120,EOM,demand_east,example_01d_base
29,2019-01-02 09:00:00,-1200,EOM,demand_east,example_01d_base
30,2019-01-02 10:00:00,-1280,EOM,demand_east,example_01d_base
31,2019-01-02 11:00:00,-1360,EOM,demand_east,example_01d_base
32,2019-01-02 12:00:00,-1440,EOM,demand_east,example_01d_base
33,2019-01-02 13:00:00,-1520,EOM,demand_east,example_01d_base
34,2019-01-02 14:00:00,-1600,EOM,demand_east,example_01d_base
35,2019-01-02 15:00:00,-1680,EOM,demand_east,example_01d_base
36,2019-01-02 16:00:00,-1760,EOM,demand_east,example_01d_base
37,2019-01-02 17:00:00,-1840,EOM,demand_east,example_01d_base
38,2019-01-02 18:00:00,-1920,EOM,demand_east,example_01d_base
39,2019-01-02 19:00:00,-2000,EOM,demand_east,example_01d_base
40,2019-01-02 00:00:00,-11600,EOM,demand_west,example_01d_base
41,2019-01-02 01:00:00,-11200,EOM,demand_west,example_01d_base
42,2019-01-02 02:00:00,-10800,EOM,demand_west,example_01d_base
43,2019-01-02 03:00:00,-10400,EOM,demand_west,example_01d_base
44,2019-01-02 04:00:00,-10000,EOM,demand_west,example_01d_base
45,2019-01-02 05:00:00,-9600,EOM,demand_west,example_01d_base
46,2019-01-02 06:00:00,-9200,EOM,demand_west,example_01d_base
47,2019-01-02 07:00:00,-8800,EOM,demand_west,example_01d_base
48,2019-01-02 08:00:00,-8400,EOM,demand_west,example_01d_base
49,2019-01-02 09:00:00,-8000,EOM,demand_west,example_01d_base
50,2019-01-02 10:00:00,-7600,EOM,demand_west,example_01d_base
51,2019-01-02 11:00:00,-7200,EOM,demand_west,example_01d_base
